SEASON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
2008,29.7,25.1,31.5,50.9,53.3,67.9,71.4,68.5,64.2,49.6,39.8,29.4,48.4
2009,18.5,27.2,35.4,46.7,57.2,64.4,66.9,70.1,62.3,48.6,44.1,28.6,47.5
2010,23.2,24.6,38.1,51.1,60.2,67,73.5,71.7,62.6,50.9,41.5,26.2,49.2
2011,21.3,24.6,31.9,45.7,58.7,66.8,75.2,71.3,65.5,52.2,46.5,35.5,49.6
2012,30.3,31.7,47.4,45.2,63.8,68.2,75.5,71.7,63.2,52.2,39.3,36.3,52.1
2013,30,26,32.9,46.3,61.4,65.7,72.5,69,61.4,54.2,37.6,28,48.8
2014,20,19.8,26.7,45.8,57.7,68.8,68.6,69,63.2,53.4,37.8,33.5,47
2015,20.4,10.9,29.2,45.8,62.6,65.6,71,69.7,67.3,51.4,46.2,42.1,48.5
2016,26.9,29.7,39.9,43.1,58.9,67.6,74.1,75.6,67,54.4,45.1,31.2,51.1
2017,31,34.8,33,50.5,56.1,67.3,70.7,68.7,65.4,57,39.8,25.4,50
